BZID,DI,spec,date,year,site,sx,rp,age,SatDNA,kDNA,tcruzi
BZ19-100,D417,DERO,4/23/19,2019,LAR,M,N,JSA,0,0,0
BZ19-102,D317,DERO,4/23/19,2019,LAR,F,N,JSA,1,1,1
BZ19-105,D196,DERO,4/23/19,2019,LAR,M,Y,A,0,0,0
BZ19-106,D437,DERO,4/23/19,2019,LAR,F,N,JSA,0,0,0
BZ19-107,D424,DERO,4/23/19,2019,LAR,F,L,A,0,0,0
BZ19-108,D419,DERO,4/23/19,2019,LAR,M,Y,JSA,0,0,0
BZ19-109,D308,DERO,4/23/19,2019,LAR,F,N,A,1,1,1
BZ19-110,D401,DERO,4/23/19,2019,LAR,F,N,A,1,1,1
BZ19-111,D403,DERO,4/23/19,2019,LAR,F,P,A,0,0,0
BZ19-112,D404,DERO,4/23/19,2019,LAR,M,Y,A,0,0,0
BZ19-113,D485,DERO,4/23/19,2019,LAR,M,Y,JSA,1,1,1
BZ19-114,D405,DERO,4/23/19,2019,LAR,M,N,JSA,0,1,1
BZ19-115,D172,DERO,4/23/19,2019,LAR,M,Y,A,1,1,1
BZ19-116,D451,DERO,4/23/19,2019,LAR,F,N,JSA,0,0,0
BZ19-117,D410,DERO,4/23/19,2019,LAR,F,N,A,1,1,1
BZ19-118,D411,DERO,4/23/19,2019,LAR,F,N,A,0,0,0
BZ19-119,D402,DERO,4/23/19,2019,LAR,F,N,A,0,0,0
BZ19-120,D412,DERO,4/23/19,2019,LAR,F,N,A,1,1,1
BZ19-121,D413,DERO,4/23/19,2019,LAR,M,N,JSA,0,0,0
BZ19-122,D414,DERO,4/23/19,2019,LAR,F,P,A,0,0,0
BZ19-123,D415,DERO,4/23/19,2019,LAR,M,Y,A,0,1,1
BZ19-124,D416,DERO,4/23/19,2019,LAR,F,P,A,0,1,1
BZ19-125,D420,DERO,4/23/19,2019,LAR,F,N,A,0,1,1
BZ19-126,D421,DERO,4/23/19,2019,LAR,F,P,A,1,1,1
BZ19-127,D422,DERO,4/23/19,2019,LAR,F,N,A,0,0,0
BZ19-128,D423,DERO,4/23/19,2019,LAR,M,N,JSA,0,0,0
BZ19-129,D425,DERO,4/23/19,2019,LAR,F,P,A,0,0,0
