predicted_n,n_se,n_weights,plant_id,id_number,species,season,n_eggs,larvae,occupied,gps,bare_ground,veg,litter,sward_height,plant_area,bare,plant_size_1,plant_size_2,leaf1_length,leaf2_length,leaf3_length,leaf1_width,leaf2_width,leaf3_width,leaf1_area,leaf2_area,leaf3_area,total_leaf_area,leaves_sampled,average_leaf_size,temperature_soil,temperature_ambient,environment_date,temperature_date,date_mean_soil,date_sd_soil,temperature_soil_scaled,scaled_leaf_size,scaled_n_content
2265.439287073313,182.20114043114313,0.5746024566803568,e103,103,ra,autumn,1,0,1,SP5653105539,40,76,0,0,5.25,Yes,3.5,1.5,68,79,59,33,29,29,2244,2291,1711,6246,3,2082,20,18,20/09/2023,21/09/2023,18.583333333333332,2.0652243256245835,0.6859626090440452,3.0421616753054703,2.6264969189861147
1992.0358859282321,125.15086951834743,0.8365361208005769,e104,104,ra,autumn,3,0,1,SP5653105539,24,76,0,0,504,Yes,18,28,63,44,37,33,16,20,2079,704,740,3523,3,1174.3333333333333,19,18,20/09/2023,21/09/2023,18.583333333333332,2.0652243256245835,0.2017537085423666,1.0900437583519216,1.5598217622839845
1504.2669512986686,123.7466707722394,0.8460286022109598,e105,105,ra,autumn,1,0,1,SP5653105541,40,72,0,0,49,Yes,7,7,22,18,NA,13,11,NA,286,198,NA,484,2,242,21,18,20/09/2023,21/09/2023,18.583333333333332,2.0652243256245835,1.1701715095457237,-0.915124737,-0.343194084
2388.4977052681434,114.04332604799822,0.9180127108677499,e106,106,ra,autumn,6,0,1,SP5653105541,24,76,0,0,364.5,Yes,27,13.5,63,45,82,32,23,43,2016,1035,3526,6577,3,2192.3333333333335,21,18,20/09/2023,21/09/2023,18.583333333333332,2.0652243256245835,1.1701715095457237,3.27945548,3.1066056409761247
2470.9997203715866,122.7858647,0.8526488217625108,e111,111,ra,autumn,1,1,1,SP5654505534,28,80,0,0,450,Yes,25,18,71,68,52,47,33,28,3337,2244,1456,7037,3,2345.6666666666665,21,18,20/09/2023,21/09/2023,18.583333333333332,2.0652243256245835,1.1701715095457237,3.609229347839534,3.4284847745938087
2002.877106400231,86.39136278456928,1.2118482626876355,e114,114,ra,autumn,3,2,1,SP5654005538,28,76,0,0,156,Yes,13,12,41,44,44,30,39,27,1230,1716,1188,4134,3,1378,20,18,20/09/2023,21/09/2023,18.583333333333332,2.0652243256245835,0.6859626090440452,1.5280694826481458,1.602118458292076
1598.0510382807734,109.08345872081438,0.9597534230157377,e115,115,ra,autumn,1,0,1,SP5653705543,24,76,0,0,60,Yes,10,6,30,29,21,17,17,18,510,493,378,1381,3,460.3333333333333,20,15,20/09/2023,22/09/2023,18.74,2.1552972236907326,0.5846061444102715,-0.445555426,0.022701714243283443
1955.3472620139116,92.09321794450061,1.1368179464071961,e116,116,ra,autumn,1,0,1,SP5653905543,20,92,0,14,110,Yes,11,10,42,53,47,20,34,26,840,1802,1222,3864,3,1288,19,14,20/09/2023,22/09/2023,18.74,2.1552972236907326,0.1206330139259296,1.3345065602913855,1.4166821981853415
1751.4273821930865,90.80645329907219,1.1529271224467834,e118,118,ra,autumn,2,1,1,SP5654205537,20,16,0,0,99,Yes,11,9,33,40,43,18,22,22,594,880,946,2420,3,806.6666666666666,20,15,20/09/2023,22/09/2023,18.74,2.1552972236907326,0.5846061444102715,0.2993033755389344,0.6210949126887225
2475.0800203637427,144.94221975150566,0.7223100562499145,e119,119,ra,autumn,1,0,1,SP5654305537,32,76,0,0,672,Yes,28,24,87,52,51,43,27,31,3741,1404,1581,6726,3,2242,18,16,20/09/2023,22/09/2023,18.74,2.1552972236907326,-0.343340117,3.386273537273044,3.4444039424435724
1830.6241680441083,81.75206601685396,1.280618680390463,e120,120,ra,autumn,1,0,1,SP5654405536,20,80,0,0,156,Yes,13,12,44,40,29,30,25,20,1320,1000,580,2900,3,966.6666666666666,19,16,20/09/2023,22/09/2023,18.74,2.1552972236907326,0.1206330139259296,0.6434152375065081,0.9300787936650825
1630.702600638266,104.16163932525137,1.0051034486389585,c103,103,ra,autumn,0,0,0,SP5652905540,0,100,0,15,88,No,22,4,26,29,32,17,18,19,442,522,608,1572,3,524,17,18,20/09/2023,21/09/2023,18.583333333333332,2.0652243256245835,-0.766664092,-0.308627581,0.15009080394874053
1743.8777685607251,99.95199987075026,1.047434999170384,c104,104,ra,autumn,0,0,0,SP5653005539,0,100,0,8,35,No,7,5,29,40,44,16,28,20,464,1120,880,2464,3,821.3333333333334,18,18,20/09/2023,21/09/2023,18.583333333333332,2.0652243256245835,-0.282455192,0.3308469628859621,0.5916403218876876
1977.544155,74.27017751856164,1.4096266684636984,c105,105,ra,autumn,0,0,0,SP5653105539,0,100,0,22.5,264,No,22,12,41,47,49,28,28,27,1148,1316,1323,3787,3,1262.3333333333333,15,18,20/09/2023,21/09/2023,18.583333333333332,2.0652243256245835,-1.735081893,1.2793052824340871,1.5032827086910174
1585.8383475951625,111.10537825887157,0.9422876240767216,c106,106,ra,autumn,0,0,0,SP5653105539,0,100,0,18.5,91,No,13,7,34,12,22,22,14,15,748,168,330,1246,3,415.3333333333333,18,18,20/09/2023,21/09/2023,18.583333333333332,2.0652243256245835,-0.282455192,-0.542336887,-0.024945732
1771.0896618274596,88.56807271,1.182065045605704,c111,111,ra,autumn,0,0,0,SP5654805534,0,100,0,22,110,No,11,10,38,60,25,18,26,12,684,1560,300,2544,3,848,17,18,20/09/2023,21/09/2023,18.583333333333332,2.0652243256245835,-0.766664092,0.38819893988055765,0.6978067060397739
1786.9841496684453,86.1330647,1.2154823848720155,c114,114,ra,autumn,0,0,0,SP5654105538,0,100,0,20,198,No,9,22,52,62,39,20,17,11,1040,1054,429,2523,3,841,16,18,20/09/2023,21/09/2023,18.583333333333332,2.0652243256245835,-1.250872993,0.3731440459194763,0.7598185728910087
2336.1175762421494,102.98519951224098,1.0165851345391967,c115,115,ra,autumn,0,0,0,SP5653605542,0,100,0,22,380,No,20,19,57,63,61,29,36,37,1653,2268,2257,6178,3,2059.3333333333335,17,14,20/09/2023,22/09/2023,18.74,2.1552972236907326,-0.807313247,2.9934124948600642,2.9022461410471854
1543.7631668104773,117.43803890014371,0.8914762531986509,c116,116,ra,autumn,0,0,0,SP5653905542,0,100,0,19,32,No,8,4,21,21,24,15,16,16,315,336,384,1035,3,345,17,15,20/09/2023,22/09/2023,18.74,2.1552972236907326,-0.807313247,-0.693602726,-0.189100786
1615.248889604101,109.22548201400824,0.958505478,c118,118,ra,autumn,0,0,0,SP5654305537,0,100,0,21,143,No,11,13,33,21,21,22,18,13,726,378,273,1377,3,459,16,14,20/09/2023,22/09/2023,18.74,2.1552972236907326,-1.271286378,-0.448423025,0.089798615
1688.2487142979362,117.38987336427076,0.8918420294809037,c119,119,ra,autumn,0,0,0,SP5654305536,0,100,0,19,280,No,20,14,31,21,32,22,16,21,682,336,672,1690,3,563.3333333333334,17,16,20/09/2023,22/09/2023,18.74,2.1552972236907326,-0.807313247,-0.224033415,0.3746052377430538
2156.5946846684105,93.32997335271226,1.1217534854107514,c120,120,ra,autumn,0,0,0,SP5654505535,0,100,0,18.5,224,No,14,16,68,69,63,26,25,26,1768,1725,1638,5131,3,1710.3333333333333,17,15,20/09/2023,22/09/2023,18.74,2.1552972236907326,-0.807313247,2.2428184959432937,2.2018429723264634
