plant_id,N,C,cn_percent,n_molar,c_molar,cn_molar,plant_size_1,plant_size_2,plant_area,leaf1_length,leaf1_width,leaf2_length,leaf2_width,leaf3_length,leaf3_width,leaf1_area,leaf2_area,leaf3_area,total_leaf_area,leaves_sampled,average_leaf_size,season,quality_PC1,quality_PC2
c01,2.848,46.42,16.299157303370787,2033.3126289561421,38647.90608608776,19.007360469663112,17,15,255,54,22,33,24,34,17,1188,792,578,2558,3,852.6666666666666,spring,-0.9270467575701666,0.44694065352281115
c02,2.192,45.76,20.87591240875912,1564.9653380168063,38098.4097910249,24.34457100455969,20,18,360,42,27,44,28,22,18,1134,1232,396,2762,3,920.6666666666666,spring,-1.6150408665969695,0.9329209368250655
c03,2.762,45.91,16.62201303403331,1971.9134414244609,38223.295312630085,19.383860624743516,20,22,440,30,18,39,24,33,17,540,936,561,2037,3,679,spring,-1.7032985603301385,1.7391199229616547
c04,3.172,46.08,14.527112232030264,2264.630498261546,38364.83223711598,16.940879435548943,16,10,160,48,14,47,22,52,24,672,1034,1248,2954,3,984.6666666666666,spring,-0.5920353465125008,-0.28021524276486093
c11,2.775,44.72,16.115315315315314,1981.1947139583199,37232.53684122887,18.792972027893352,15,14,210,52,26,56,24,53,25,1352,1344,1325,4021,3,1340.3333333333333,spring,-1.3998588237955585,-0.5290032951293199
c32,1.429,44.01,30.797760671798457,1020.2260346834015,36641.412038964285,35.914994122194614,7,9,63,22,10,18,12,19,12,220,216,228,664,3,221.33333333333334,spring,1.084081125730149,0.3113725051357071
c40,3.151,46.08,14.62392891145668,2249.6376733991588,38364.83223711598,17.053782789451365,14,13,182,35,18,33,13,17,13,630,429,221,1280,3,426.6666666666667,spring,0.11382770378701151,0.6716233944988348
c46,2.341,44.15,18.859461768475008,1671.3430001356494,36757.97185912914,21.99307494400957,31,19,589,47,23,35,18,52,16,1081,630,832,2543,3,847.6666666666666,spring,-2.7867980979113547,2.321545951637863
c50,1.37,42.89,31.306569343065693,978.103336260504,35708.93347764549,36.5083444190757,2,3,6,12,8,15,11,12,8,96,165,96,357,3,119,spring,1.5547368191529571,0.14472781415131275
c62,2.804,47.29,16.865192582025678,2001.8990911492353,39372.242111397885,19.667445919462086,26,25,650,31,20,35,18,30,24,620,630,720,1970,3,656.6666666666666,spring,-2.8440991136309,2.946268154319008
c63,1.941,43.25,22.28232869654817,1385.765383709225,36008.65872949796,25.984671830317314,16,14,224,42,18,33,17,28,14,756,561,392,1709,3,569.6666666666666,spring,-0.3333787708450533,0.694006676798393
c74,2.027,46.16,22.772570300937343,1447.164571240906,38431.43784863875,26.55637003031714,19,23,437,42,21,48,20,30,18,882,960,540,2382,3,794,spring,-1.857348011982015,1.551528345814662
c82,1.566,43.73,27.92464878671775,1118.036368309452,36408.292398634585,32.564497390801726,11,10,110,35,17,30,14,38,18,595,420,684,1699,3,566.3333333333334,spring,0.30887293282010386,0.06165761164914488
c96,1.617,44.05,27.241805813234382,1154.447514403821,36674.71484472567,31.768195944070442,13,9,117,23,15,28,17,15,10,345,476,150,971,3,323.6666666666667,spring,0.6301964950548986,0.4612461333725435
c108,3.801,47.5,12.496711391739016,2713.701300092099,39547.08184164516,14.573115265229445,12,13,156,67,25,25,62,44,18,1675,1550,792,4017,3,1339,autumn,-1.0959991666363333,-0.8289018968821814
c115,3.709,47.89,12.91183607441359,2648.018448314021,39871.78419781867,15.057215414494117,20,19,380,57,29,63,36,61,37,1653,2268,2257,6178,3,2059.3333333333335,autumn,-3.4182186100979894,-0.6466426367085145
c125,3.943,46.85,11.881815876236368,2815.0813539234796,39005.91124802265,13.85605115591374,13,21,273,57,24,34,20,32,13,1368,680,416,2464,3,821.3333333333334,autumn,-0.981130733030741,0.5941094310329322
c129,1.968,45.22,22.977642276422763,1405.0418728180084,37648.821913246196,26.79551594981024,19,17,323,59,23,52,24,53,21,1357,1248,1113,3718,3,1239.3333333333333,autumn,-1.8815438804375502,0.25273170854472193
c130,2.599,45.96,17.683724509426703,1855.5405627306934,38264.92381983183,20.621981857146533,21,25,525,55,21,63,34,65,37,1155,2142,2405,5702,3,1900.6666666666667,autumn,-3.9931371795513173,0.3996415261020938
